,id_depto,grupo_etario,habitantes
734,06665,19-65,23143.0
735,06686,12-18,2802.0
736,06686,19-65,14850.0
737,06700,0-5,1436.0
738,06721,>65,1360.0
739,06728,6-11,2599.0
740,06735,0-5,2120.0
741,06742,>65,1430.0
742,06763,>65,21150.0
743,06778,12-18,12889.0
744,06778,19-65,56479.0
745,06784,>65,1405.0
746,06791,>65,18727.0
747,06805,0-5,32611.0
748,06812,12-18,270.0
749,06812,19-65,1537.0
750,06826,>65,6150.0
751,06833,12-18,6283.0
752,06833,19-65,36334.0
753,06840,6-11,28750.0
754,06847,>65,1342.0
755,06861,0-5,14893.0
756,06868,12-18,4460.0
757,06868,19-65,22428.0
758,06882,6-11,13121.0
759,10021,0-5,1535.0
760,10049,>65,16868.0
761,10056,6-11,448.0
762,10063,0-5,1207.0
763,10077,12-18,533.0
764,10077,19-65,2847.0
765,10084,>65,1158.0
766,10112,0-5,2667.0
767,14007,>65,9292.0
768,14014,0-5,105777.0
769,14021,6-11,29932.0
770,14028,12-18,7447.0
771,14028,19-65,38161.0
772,14035,0-5,2905.0
773,14049,6-11,3562.0
774,14070,6-11,424.0
775,14077,0-5,377.0
776,14091,>65,29233.0
777,14098,>65,35019.0
778,14140,0-5,17737.0
779,14161,>65,16509.0
780,14168,0-5,1943.0
781,14175,>65,1914.0
782,14182,6-11,10277.0
783,18042,0-5,1574.0
784,18049,12-18,4927.0
785,18049,19-65,22354.0
786,18070,>65,11124.0
787,18091,>65,3024.0
788,18105,12-18,5536.0
789,18105,19-65,29405.0
790,18119,6-11,6353.0
791,18126,6-11,3024.0
792,18133,12-18,2017.0
793,18133,19-65,12193.0
794,18140,>65,2177.0
795,18147,6-11,1702.0
796,18154,>65,1074.0
797,18161,12-18,2767.0
798,18161,19-65,13305.0
799,18168,6-11,8046.0
800,22021,6-11,10417.0
801,22028,>65,2861.0
802,22039,6-11,783.0
803,22056,0-5,1285.0
804,22063,>65,3980.0
805,22084,12-18,8036.0
806,22084,19-65,38555.0
807,22091,0-5,2701.0
808,22098,>65,4694.0
809,22126,0-5,1360.0
810,22133,>65,2761.0
811,22147,6-11,1818.0
812,22154,0-5,1769.0
813,22168,0-5,3301.0
814,26007,>65,8486.0
815,26028,0-5,175.0
816,26035,6-11,4856.0
817,26049,6-11,90.0
818,26070,6-11,160.0
819,26077,0-5,10491.0
820,26084,12-18,625.0
821,26084,19-65,3956.0
822,26091,12-18,1804.0
823,26091,19-65,8654.0
824,26098,6-11,643.0
825,30008,>65,8833.0
826,30015,6-11,21468.0
827,30021,>65,6551.0
828,30028,6-11,7982.0
829,30042,6-11,1726.0
830,30056,0-5,9410.0
831,30070,6-11,7842.0
832,30077,12-18,4610.0
833,30077,19-65,25431.0
834,30084,6-11,35139.0
835,30088,12-18,2515.0
836,30088,19-65,12160.0
837,30091,12-18,3496.0
838,30091,19-65,18034.0
839,30113,>65,6274.0
840,34021,0-5,1725.0
841,34035,>65,6529.0
